
> Configure project :app
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:43:1: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:45:1: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:45:14: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:46:5: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:46:19: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:46:20: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:46:24: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:46:25: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:46:33: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:46:34: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:46:38: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:46:39: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:46:42: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:47:5: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:47:19: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:47:20: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:47:24: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:47:25: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:47:33: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:47:34: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:47:43: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:47:44: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:47:51: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:47:52: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:47:55: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:48:5: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:48:19: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:48:20: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:48:24: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:48:25: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:48:33: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:48:34: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:48:42: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:48:43: Unexpected symbol
e: file:///Users/adriangarciagarcia/AndroidStudioProjects/MiniProyectoPersistenciaDatos/app/build.gradle.kts:48:50: Unexpected symbol
